id,zipcode4,zipcode6,zipcode6id,housetype,lot-area,house-area,garden-size,rooms,bathrooms,x-coor,y-coor,buildyear,retailvalue,askingprice,energylabel,energyeff,valuationdate,street,subdistrict,district,city,dist-from-train
5026,3521,3521DE,3521DE026,appartement,0,93,0,4,1,52.0800,5.1091,2014,695,590,A+,1,2024-05-17,Voorsterbeeklaan,Dichterswijk,Zuid-West,Utrecht,0.97
5027,3521,3521DE,3521DE027,appartement,0,90,111,3,1,52.0800,5.1091,2014,650,595,A+,1,2024-06-24,Voorsterbeeklaan,Dichterswijk,Zuid-West,Utrecht,0.97
5028,3521,3521DE,3521DE028,appartement,0,78,0,2,1,52.0798,5.1093,2013,529,525,A,1,2024-08-05,Voorsterbeeklaan,Dichterswijk,Zuid-West,Utrecht,0.99
5029,3521,3521DE,3521DE029,appartement,0,97,0,3,1,52.0800,5.1091,2014,668,620,A+,1,2024-07-30,Voorsterbeeklaan,Dichterswijk,Zuid-West,Utrecht,0.97
5030,3521,3521DE,3521DE030,appartement,0,97,40,3,1,52.0799,5.1092,2013,620,595,A+,1,2024-09-27,Voorsterbeeklaan,Dichterswijk,Zuid-West,Utrecht,0.98
5031,3521,3521DE,3521DE031,appartement,0,93,0,3,1,52.0800,5.1091,2014,670,600,A+,1,2024-07-29,Voorsterbeeklaan,Dichterswijk,Zuid-West,Utrecht,0.97
5032,3521,3521DG,3521DG032,appartement,0,110,0,3,1,52.0808,5.1083,2005,560,550,A,1,2024-04-22,Voorsterbeeklaan,Dichterswijk,Zuid-West,Utrecht,0.88
5033,3521,3521DG,3521DG033,appartement,0,72,0,3,1,52.0806,5.1085,2005,522,469,A+,1,2024-01-31,Voorsterbeeklaan,Dichterswijk,Zuid-West,Utrecht,0.90
5034,3522,3522EG,3522EG034,woonhuis,113,137,50,7,1,52.0669,5.1144,1933,787,650,A,1,2024-10-02,Socrateslaan,Dichterswijk-Rivierenwijk,Zuid-West,Utrecht,2.43
5035,3522,3522EG,3522EG035,appartement,0,89,0,4,1,52.0670,5.1139,1939,525,465,C,0,2024-09-17,Socrateslaan,Dichterswijk-Rivierenwijk,Zuid-West,Utrecht,2.42
5036,3533,3533VS,3533VS036,woonhuis,141,114,50,5,1,52.0897,5.0869,1938,761,675,D,0,2024-04-03,Goethelaan,Oog in Al-Welgelegen,West,Utrecht,1.60
5037,3533,3533VS,3533VS037,woonhuis,135,123,Unspecified,7,1,52.0898,5.0870,1938,757,650,D,0,2024-09-02,Goethelaan,Oog in Al-Welgelegen,West,Utrecht,1.59
5038,3533,3533VP,3533VP038,woonhuis,145,116,63,5,1,52.0893,5.0863,1936,776,675,C,0,2024-08-02,Goethelaan,Oog in Al-Welgelegen,West,Utrecht,1.63
5039,3561,3561VE,3561VE039,woonhuis,132,91,54,4,1,52.1104,5.1149,1965,547,450,B,0,2024-10-01,Hildebranddreef,Taagdreef-Wolgadreef,Overvecht,Utrecht,2.44
5040,3561,3561VE,3561VE040,woonhuis,132,91,53,4,1,52.1108,5.1143,1965,395,375,E,0,2024-02-29,Hildebranddreef,Taagdreef-Wolgadreef,Overvecht,Utrecht,2.47
5041,3561,3561VG,3561VG041,woonhuis,150,128,53,6,2,52.1099,5.1141,1966,520,495,E,0,2024-05-23,Hildebranddreef,Taagdreef-Wolgadreef,Overvecht,Utrecht,2.37
5042,3561,3561VD,3561VD042,woonhuis,146,94,57,4,1,52.1104,5.1139,1965,571,485,A,1,2024-10-02,Hildebranddreef,Taagdreef-Wolgadreef,Overvecht,Utrecht,2.43
5044,3571,3571KA,3571KA044,woonhuis,164,142,Unspecified,6,2,52.1048,5.1321,1931,845,850,C,0,2024-03-15,Prof. Jordanlaan,Tuindorp,Noord-Oost,Utrecht,2.33
5045,3571,3571KA,3571KA045,woonhuis,272,139,138,5,1,52.1050,5.1322,1931,850,895,E,0,2024-06-24,Prof. Jordanlaan,Tuindorp,Noord-Oost,Utrecht,2.35
5046,3571,3571KC,3571KC046,woonhuis,220,113,Unspecified,6,1,52.1077,5.1337,1932,825,700,F,0,2024-08-20,Prof. Jordanlaan,Tuindorp,Noord-Oost,Utrecht,2.65
5047,3571,3571PL,3571PL047,appartement,0,94,0,4,1,52.1030,5.1378,1971,532,450,D,0,2024-11-15,Kernkampplantsoen,Tuindorp,Noord-Oost,Utrecht,2.46
5048,3513,3513AP,3513AP048,appartement,0,58,7,3,1,52.0974,5.1077,1913,425,375,B,0,2024-01-31,Beverstraat,Pijlsweerd,Noord-West,Utrecht,0.98
5049,3513,3513AR,3513AR049,woonhuis,65,142,Unspecified,6,1,52.0970,5.1069,1906,468,399,E,0,2024-05-31,Beverstraat,Pijlsweerd,Noord-West,Utrecht,0.95
5050,3521,3521DH,3521DH050,appartement,0,74,6,3,1,52.0804,5.1093,2008,621,520,A,1,2024-08-16,Voorsterbeeklaan ,Dichterswijk,Zuid-West,Utrecht,0.93
5051,3521,3521EP,3521EP051,woonhuis,101,102,Unspecified,6,1,52.0787,5.1095,1937,735,675,D,0,2024-06-27,Merwedekade ,Dichterswijk,Zuid-West,Utrecht,1.11
5052,3521,3521EP,3521EP052,woonhuis,90,92,15,6,1,52.0783,5.1098,1937,755,625,A,1,2024-09-16,Merwedekade ,Dichterswijk,Zuid-West,Utrecht,1.15
5053,3522,3522JA,3522JA053,appartement,0,83,96,3,1,52.0767,5.1104,1931,527,475,C,0,2024-05-01,Merwedekade ,Dichterswijk-Rivierenwijk,Zuid-West,Utrecht,1.33
5054,3522,3522JA,3522JA054,appartement,0,100,0,5,1,52.0767,5.1104,1931,431,399,E,0,2024-07-08,Merwedekade ,Dichterswijk-Rivierenwijk,Zuid-West,Utrecht,1.33
5055,3522,3522JB,3522JB055,appartement,0,89,45,4,1,52.0762,5.1106,1930,620,525,C,0,2024-08-08,Merwedekade ,Dichterswijk-Rivierenwijk,Zuid-West,Utrecht,1.39
5056,3522,3522JM,3522JM056,appartement,0,111,43,4,1,52.0698,5.1122,1931,676,625,A,1,2024-07-12,Merwedekade ,Dichterswijk-Rivierenwijk,Zuid-West,Utrecht,2.10
5057,3522,3522JM,3522JM057,appartement,0,77,92,4,1,52.0695,5.1123,1931,460,450,B,0,2024-10-24,Merwedekade ,Dichterswijk-Rivierenwijk,Zuid-West,Utrecht,2.13
5058,3522,3522JP,3522JP058,woonhuis,118,111,45,5,1,52.0682,5.1126,1934,680,575,D,0,2024-04-04,Merwedekade ,Dichterswijk-Rivierenwijk,Zuid-West,Utrecht,2.28
5059,3524,3524JA,3524JA059,woonhuis,103,98,41,6,1,52.0591,5.1292,1985,585,510,B,0,2024-11-08,Seychellen ,Lunetten,Zuid,Utrecht,3.53
5060,3524,3524JB,3524JB060,woonhuis,144,83,72,3,1,52.0576,5.1300,1985,468,399,B,0,2024-08-05,Seychellen ,Lunetten,Zuid,Utrecht,3.70
5061,3527,3527HM,3527HM061,appartement,0,78,0,3,1,52.0765,5.0942,1966,316,300,C,0,2024-04-03,Eisenhowerlaan ,Transwijk,Zuid-West,Utrecht,1.74
5062,3527,3527HG,3527HG062,woonhuis,114,141,27,5,1,52.0767,5.0931,2006,590,575,A,1,2024-09-02,Eisenhowerlaan ,Transwijk,Zuid-West,Utrecht,1.77
5063,3527,3527HK,3527HK063,appartement,0,66,0,3,1,52.0773,5.0933,1964,310,275,D,0,2024-07-02,Eisenhowerlaan ,Transwijk,Zuid-West,Utrecht,1.71
5064,3527,3527HN,3527HN064,appartement,0,78,0,4,1,52.0763,5.0943,1966,350,300,B,0,2024-07-04,Eisenhowerlaan ,Transwijk,Zuid-West,Utrecht,1.75
5065,3527,3527HN,3527HN065,appartement,0,80,0,3,1,52.0763,5.0943,1966,320,300,B,0,2024-07-08,Eisenhowerlaan ,Transwijk,Zuid-West,Utrecht,1.75
5066,3527,3527HP,3527HP066,appartement,0,58,0,3,1,52.0762,5.0945,1966,307,275,C,0,2024-06-14,Eisenhowerlaan ,Transwijk,Zuid-West,Utrecht,1.75
5067,3527,3527HR,3527HR067,appartement,0,78,0,4,1,52.0760,5.0946,1966,341,325,C,0,2024-10-23,Eisenhowerlaan ,Transwijk,Zuid-West,Utrecht,1.76
5068,3531,3531PL,3531PL068,appartement,0,47,13,1,1,52.0926,5.1011,1910,386,300,C,0,2024-09-02,Javastraat ,Lombok-Leidseweg,West,Utrecht,0.76
5069,3531,3531PL,3531PL069,appartement,0,93,0,6,1,52.0926,5.1011,1918,459,400,G,0,2024-04-16,Javastraat ,Lombok-Leidseweg,West,Utrecht,0.76
5070,3531,3531PL,3531PL070,appartement,0,47,14,2,1,52.0925,5.1012,1906,336,325,D,0,2024-07-08,Javastraat ,Lombok-Leidseweg,West,Utrecht,0.75
5071,3531,3531PL,3531PL071,appartement,0,91,0,4,1,52.0924,5.1013,1918,599,498,D,0,2024-07-01,Javastraat ,Lombok-Leidseweg,West,Utrecht,0.74
5072,3531,3531PP,3531PP072,appartement,0,40,0,2,1,52.0926,5.1014,1918,310,295,A,1,2024-07-01,Javastraat ,Lombok-Leidseweg,West,Utrecht,0.75
5073,3531,3531PP,3531PP073,appartement,0,44,12,2,1,52.0924,5.1015,1918,320,325,C,0,2024-03-11,Javastraat ,Lombok-Leidseweg,West,Utrecht,0.73
5074,3531,3531PR,3531PR074,appartement,0,46,12,2,1,52.0919,5.1018,1918,310,305,C,0,2024-04-11,Javastraat ,Lombok-Leidseweg,West,Utrecht,0.68
5075,3541,3541RB,3541RB075,woonhuis,67,119,15,4,1,52.0936,5.0700,2019,710,625,A,1,2024-08-05,Laurierweg,Leidsche Rijn Centrum e.o.,Leidsche Rijn,Utrecht,2.80
5076,3541,3541RJ,3541RJ076,woonhuis,122,129,49,6,1,52.0928,5.0683,2016,790,725,A++,1,2024-11-11,Kardemomweg,Leidsche Rijn Centrum e.o.,Leidsche Rijn,Utrecht,2.90
5077,3541,3541RJ,3541RJ077,woonhuis,112,133,53,5,1,52.0927,5.0680,2015,842,725,A,1,2024-07-17,Kardemomweg,Leidsche Rijn Centrum e.o.,Leidsche Rijn,Utrecht,2.91
5078,3541,3541RJ,3541RJ078,woonhuis,122,125,64,6,1,52.0927,5.0683,2016,807,675,A++,1,2024-07-10,Kardemomweg,Leidsche Rijn Centrum e.o.,Leidsche Rijn,Utrecht,2.89
5079,3543,3543GC,3543GC079,woonhuis,400,152,Unspecified,4,1,52.1026,5.0533,2017,1050,995,A,1,2024-11-04,CG Sigmund Rombergstraat,Terwijde-De Wetering,Leidsche Rijn,Utrecht,4.18
5080,3543,3543DR,3543DR080,woonhuis,308,162,75,6,1,52.1058,5.0475,2007,1015,950,A,1,2024-09-19,Jule Stynestraat,Terwijde-De Wetering,Leidsche Rijn,Utrecht,4.68
5081,3543,3543DR,3543DR081,woonhuis,179,174,66,7,1,52.1056,5.0474,2007,927,825,A,1,2024-06-13,Jule Stynestraat,Terwijde-De Wetering,Leidsche Rijn,Utrecht,4.68
5082,3543,3543HG,3543HG082,woonhuis,123,81,63,4,1,52.1120,5.0362,2001,482,435,A,1,2024-06-17,Leo Fallplantsoen,Terwijde-De Wetering,Leidsche Rijn,Utrecht,5.67
5083,3543,3543HH,3543HH083,woonhuis,207,176,121,6,1,52.1113,5.0371,2004,710,725,A,1,2024-05-31,Leo Fallplantsoen,Terwijde-De Wetering,Leidsche Rijn,Utrecht,5.58
5084,3544,3544RC,3544RC084,woonhuis,122,115,Unspecified,3,2,52.0848,5.0572,1999,560,505,B,0,2024-07-01,Klifrakplantsoen ,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,3.64
5085,3544,3544RC,3544RC085,woonhuis,119,110,47,3,2,52.0847,5.0573,1999,561,515,A,1,2024-05-27,Klifrakplantsoen ,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,3.63
5086,3544,3544RC,3544RC086,woonhuis,112,146,40,4,1,52.0851,5.0577,1999,650,550,A,1,2024-09-06,Klifrakplantsoen ,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,3.61
5087,3544,3544RC,3544RC087,woonhuis,141,112,52,5,1,52.0853,5.0577,1999,636,515,A,1,2024-08-26,Klifrakplantsoen ,Het Zand-Parkwijk-Langerak,Leidsche Rijn,Utrecht,3.60
5088,3553,3553GA,3553GA088,woonhuis,137,86,60,4,1,52.1088,5.0845,1915,541,468,D,0,2024-10-14,Bessemerlaan ,Zuilen-west,Noord-West,Utrecht,2.85
5089,3553,3553GA,3553GA089,woonhuis,124,86,64,4,1,52.1086,5.0837,1920,591,495,E,0,2024-11-15,Bessemerlaan ,Zuilen-west,Noord-West,Utrecht,2.86
5090,3553,3553GA,3553GA090,woonhuis,121,71,85,4,1,52.1084,5.0830,1915,546,450,E,0,2024-10-15,Bessemerlaan ,Zuilen-west,Noord-West,Utrecht,2.87
5091,3553,3553GC,3553GC091,woonhuis,122,87,32,4,1,52.1092,5.0802,1915,640,550,F,0,2024-10-02,Bessemerlaan ,Zuilen-west,Noord-West,Utrecht,3.06
5092,3553,3553GD,3553GD092,woonhuis,182,109,45,5,1,52.1085,5.0823,1919,740,650,C,0,2024-10-03,Bessemerlaan ,Zuilen-west,Noord-West,Utrecht,2.91
5093,3553,3553GE,3553GE093,woonhuis,228,78,140,4,1,52.1098,5.0799,1919,501,475,D,0,2024-03-22,Bessemerlaan ,Zuilen-west,Noord-West,Utrecht,3.13
5094,3573,3573BB,3573BB094,woonhuis,110,108,24,5,1,52.1092,5.1463,1992,556,495,B,0,2024-06-28,BB Steve Bikostraat,Voordorp,Noord-Oost,Utrecht,3.35
5096,3573,3573BJ,3573BJ096,woonhuis,172,118,50,5,1,52.1111,5.1477,1991,635,575,C,0,2024-04-29,BB Steve Bikostraat,Voordorp,Noord-Oost,Utrecht,3.56
5097,3581,3581JN,3581JN097,woonhuis,40,51,6,3,1,52.0905,5.1369,1904,435,350,F,0,2024-09-03,JN Oudwijkerveldstraat,Oudwijk-Buiten Wittevrouwen,Oost,Utrecht,1.83
5098,3581,3581JN,3581JN098,woonhuis,40,61,5,3,1,52.0906,5.1372,1906,457,400,F,0,2024-05-08,JN Oudwijkerveldstraat,Oudwijk-Buiten Wittevrouwen,Oost,Utrecht,1.85
5099,3581,3581JN,3581JN099,woonhuis,46,118,0,6,2,52.0906,5.1379,1913,702,635,G,0,2024-05-31,JN Oudwijkerveldstraat,Oudwijk-Buiten Wittevrouwen,Oost,Utrecht,1.90
5100,3438,3438LE,3438LE100,appartement,0,64,0,2,1,52.0512,5.0922,2012,350,300,A,1,2024-05-03,Moerashoeve,Blokhoeve,Blokhoeve-Nieuwegein,Nieuwegein,4.34
5101,3438,3438LE,3438LE101,appartement,0,64,0,2,1,52.0513,5.0923,2012,352,300,A,1,2024-10-25,Moerashoeve,Blokhoeve,Blokhoeve-Nieuwegein,Nieuwegein,4.33
5102,3438,3438LE,3438LE102,appartement,0,114,0,3,1,52.0520,5.0934,2011,455,400,A,1,2024-05-13,Moerashoeve,Blokhoeve,Blokhoeve-Nieuwegein,Nieuwegein,4.23
5103,3438,3438LE,3438LE103,appartement,0,64,0,2,1,52.0517,5.0928,2012,370,300,A,1,2024-08-14,Moerashoeve,Blokhoeve,Blokhoeve-Nieuwegein,Nieuwegein,4.27
5104,3438,3438MV,3438MV104,woonhuis,168,167,48,6,1,52.0470,5.0954,2017,781,695,A,1,2024-11-11,Vlierhoeve,Blokhoeve,Blokhoeve-Nieuwegein,Nieuwegein,4.74
5105,3438,3438MV,3438MV105,woonhuis,165,158,57,5,1,52.0469,5.0958,2017,735,685,A,1,2024-07-25,Vlierhoeve,Blokhoeve,Blokhoeve-Nieuwegein,Nieuwegein,4.74
5106,3438,3438MV,3438MV106,woonhuis,271,177,89,5,1,52.0466,5.0964,2017,791,735,A,1,2024-05-15,Vlierhoeve,Blokhoeve,Blokhoeve-Nieuwegein,Nieuwegein,4.76
5107,3438,3438MV,3438MV107,woonhuis,153,148,55,7,1,52.0465,5.0978,2017,782,650,A,1,2024-08-01,Vlierhoeve,Blokhoeve,Blokhoeve-Nieuwegein,Nieuwegein,4.76
5108,3512,3512EA,3512EA108,appartement,0,76,21,3,1,52.0932,5.1247,1900,525,525,B,0,2024-07-17,Keizerstraat,Binnenstad woongebied,Binnenstad,Utrecht,1.11
5109,3512,3512EA,3512EA109,woonhuis,80,69,0,2,1,52.0940,5.1249,1880,415,475,F,0,2024-05-31,Keizerstraat,Binnenstad woongebied,Binnenstad,Utrecht,1.16
5110,3512,3512EA,3512EA110,appartement,0,85,19,2,2,52.0946,5.1252,1800,447,445,Unspecified,Unspecified,2024-04-24,Keizerstraat,Binnenstad woongebied,Binnenstad,Utrecht,1.21
5111,3512,3512PZ,3512PZ111,woonhuis,48,96,24,4,1,52.0846,5.1239,2002,720,615,A,1,2024-07-15,Vrouwjuttenhof,Binnenstad woongebied,Binnenstad,Utrecht,1.03
5112,3512,3512PZ,3512PZ112,woonhuis,89,113,27,5,1,52.0844,5.1240,2002,820,750,A,1,2024-05-21,Vrouwjuttenhof,Binnenstad woongebied,Binnenstad,Utrecht,1.05
5113,3532,3532HX,3532HX113,woonhuis,83,99,30,4,1,52.0945,5.0873,1931,592,499,C,0,2024-02-29,Vleutenseweg,Lombok-Leidseweg,West,Utrecht,1.69
5114,3532,3532HH,3532HH114,woonhuis,90,110,,6,2,52.0937,5.0961,1936,750,795,Unspecified,Unspecified,2024-07-03,Vleutenseweg,Lombok-Leidseweg,West,Utrecht,1.12
5115,3532,3532HH,3532HH115,woonhuis,110,118,46,5,1,52.0938,5.0957,1936,510,525,C,0,2024-05-02,Vleutenseweg,Lombok-Leidseweg,West,Utrecht,1.14
5116,3532,3532HH,3532HH116,woonhuis,164,148,,8,2,52.0938,5.0954,1937,561,770,F,0,2024-05-31,Vleutenseweg,Lombok-Leidseweg,West,Utrecht,1.16
5117,3532,3532HH,3532HH117,woonhuis,120,119,55,6,1,52.0938,5.0953,1937,726,675,C,0,2024-09-19,Vleutenseweg,Lombok-Leidseweg,West,Utrecht,1.17
5118,3526,3526SJ,3526SJ118,appartement,0,73,0,3,1,52.0663,5.1048,1967,334,319,E,0,2024-11-25,Azielaan,Kanaleneiland-Transwijk,Zuid-West,Utrecht,2.51
5119,3526,3526SJ,3526SJ119,appartement,0,90,0,3,1,52.0663,5.1048,1969,376,335,C,0,2024-09-27,Azielaan,Kanaleneiland-Transwijk,Zuid-West,Utrecht,2.51
5120,3526,3526SJ,3526SJ120,appartement,0,105,0,3,1,52.0665,5.1048,1969,400,385,B,0,2024-10-31,Azielaan,Kanaleneiland-Transwijk,Zuid-West,Utrecht,2.49
5121,3526,3526WS,3526WS121,appartement,0,31,0,1,1,52.0673,5.1095,2009,228,225,B,0,2024-05-31,Europaplein,Kanaleneiland-Transwijk,Zuid-West,Utrecht,2.37
5122,3526,3526WS,3526WS122,appartement,0,45,0,2,1,52.0673,5.1095,2009,323,323,A,1,2024-05-24,Europaplein,Kanaleneiland-Transwijk,Zuid-West,Utrecht,2.37
5123,3526,3526WS,3526WS123,appartement,0,41,0,2,1,52.0673,5.1095,2008,326,325,A,1,2024-08-16,Europaplein,Kanaleneiland-Transwijk,Zuid-West,Utrecht,2.37
5124,3526,3526WS,3526WS124,appartement,0,28,0,1,1,52.0673,5.1095,2009,225,225,A,1,2024-05-08,Europaplein,Kanaleneiland-Transwijk,Zuid-West,Utrecht,2.37
5125,3526,3526WS,3526WS125,appartement,0,50,0,2,1,52.0673,5.1095,2009,320,310,A,1,2024-04-08,Europaplein,Kanaleneiland-Transwijk,Zuid-West,Utrecht,2.37
5126,3526,3526WS,3526WS126,appartement,0,45,0,2,1,52.0673,5.1095,2009,355,325,A,1,2024-07-08,Europaplein,Kanaleneiland-Transwijk,Zuid-West,Utrecht,2.37
5127,3526,3526WS,3526WS127,appartement,0,28,0,1,1,52.0673,5.1095,2009,249,250,B,0,2024-11-27,Europaplein,Kanaleneiland-Transwijk,Zuid-West,Utrecht,2.37
5128,3451,3451CW,3451CW128,woonhuis,150,77,81,4,1,52.1009,5.0116,1957,525,420,B,0,2024-10-08,Julianalaan,Vleuten-Haarzuilens,Vleuten-De Meern,Vleuten,6.86
5129,3452,3452AS,3452AS129,woonhuis,157,158,59,5,1,52.0983,5.0006,2004,651,595,A,1,2024-05-28,Duizendknooplaan,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,7.55
5130,3452,3452AS,3452AS130,woonhuis,159,181,53,6,2,52.0977,5.0003,2005,805,675,A,1,2024-11-13,Duizendknooplaan,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,7.56
5131,3452,3452AS,3452AS131,woonhuis,159,160,45,5,2,52.0971,5.0000,2004,650,635,A,1,2024-04-30,Duizendknooplaan,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,7.57
5132,3452,3452JE,3452JE132,appartement,0,59,0,2,1,52.0981,5.0104,2006,335,295,A,1,2024-08-13,Eyckenstein,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,6.89
5133,3452,3452JE,3452JE133,appartement,0,59,0,2,1,52.0981,5.0104,2006,380,325,A,1,2024-11-15,Eyckenstein,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,6.89
5134,3452,3452JE,3452JE134,appartement,0,90,15,3,1,52.0981,5.0104,2006,488,450,A,1,2024-10-31,Eyckenstein,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,6.89
5135,3452,3452JE,3452JE135,appartement,0,89,0,4,1,52.0981,5.0104,2006,463,430,A,1,2024-05-31,Eyckenstein,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,6.89
5136,3452,3452JE,3452JE136,appartement,0,88,0,3,1,52.0981,5.0104,2007,448,425,A,1,2024-04-24,Eyckenstein,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,6.89
5137,3452,3452JE,3452JE137,appartement,0,69,0,3,1,52.0981,5.0104,2006,410,367,A,1,2024-03-18,Eyckenstein,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,6.89
5138,3452,3452JK,3452JK138,woonhuis,138,135,74,6,1,52.0985,5.0116,2007,776,639,A+,1,2024-07-02,Birkhoven,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,6.82
5139,3452,3452MN,3452MN139,woonhuis,125,181,35,6,1,52.0925,5.0123,2017,895,837.5,A,1,2024-11-15,Dassenburcht ,Veldhuizen-Vleuterweide,Vleuten-De Meern,Vleuten,6.70
